+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1001046399.0ns,0,4,12
+1106156796.0ns,0,4,12
+1106620796.0ns,0,4,12
+1107084796.0ns,0,4,12
+1107548796.0ns,0,4,12
+1108012796.0ns,0,4,12
+1108476796.0ns,0,4,12
+1108940796.0ns,0,4,12
+1109404796.0ns,0,4,12
+1109868796.0ns,0,4,12
+1110332796.0ns,0,4,12
+1759925798.0ns,0,4,12
+1759925798.0ns,0,4,12
+1779305565.0ns,0,4,12
+1869896996.0ns,0,4,12
+1889276763.0ns,0,4,12
+1968335378.0ns,0,4,12
+2066684466.0ns,0,4,12
+2078306576.0ns,0,4,12
+2108998521.0ns,0,4,12
+2109546780.0ns,0,4,12
+2143528712.0ns,0,4,12
+2176655664.0ns,0,4,12
+2180079394.0ns,0,4,12
+2180551393.0ns,0,4,12
+2199459161.0ns,0,4,12
+2199931160.0ns,0,4,12
+2218969719.0ns,0,4,12
+2223497718.0ns,0,4,12
+2241407164.0ns,0,4,12
+2248711523.0ns,0,4,12
+2253499910.0ns,0,4,12
+2296278062.0ns,0,4,12
+2296278062.0ns,0,4,12
+2296750061.0ns,0,4,12
+2297222060.0ns,0,4,12
+2314361559.0ns,0,4,12
+2314833558.0ns,0,4,12
+2315305557.0ns,0,4,12
+2351378362.0ns,0,4,12
+2358682721.0ns,0,4,12
+2388488974.0ns,0,4,12
+2388960973.0ns,0,4,12
+2411180460.0ns,0,4,12
+2411652459.0ns,0,4,12
+2412124458.0ns,0,4,12
+2429263957.0ns,0,4,12
+2429735956.0ns,0,4,12
+2430207955.0ns,0,4,12
+2486838062.0ns,0,4,12
+2487310061.0ns,0,4,12
+2503391372.0ns,0,4,12
+2503863371.0ns,0,4,12
+2504335370.0ns,0,4,12
+2521362858.0ns,0,4,12
+2521834857.0ns,0,4,12
+2522306856.0ns,0,4,12
+2529152117.0ns,0,4,12
+2529624116.0ns,0,4,12
+2530802858.0ns,0,4,12
+2531274857.0ns,0,4,12
+2531746856.0ns,0,4,12
+2533872117.0ns,0,4,12
+2534344116.0ns,0,4,12
+2539446355.0ns,0,4,12
+2539918354.0ns,0,4,12
+2540390353.0ns,0,4,12
+2548886355.0ns,0,4,12
+2549358354.0ns,0,4,12
+2549830353.0ns,0,4,12
+2563682308.0ns,0,4,12
+2564154307.0ns,0,4,12
+2565630562.0ns,0,4,12
+2601740460.0ns,0,4,12
+2602212459.0ns,0,4,12
+2602684458.0ns,0,4,12
+2618293770.0ns,0,4,12
+2618765769.0ns,0,4,12
+2619237768.0ns,0,4,12
+2636265256.0ns,0,4,12
+2636737255.0ns,0,4,12
+2637209254.0ns,0,4,12
+2650425256.0ns,0,4,12
+2650897255.0ns,0,4,12
+2651369254.0ns,0,4,12
+2655145256.0ns,0,4,12
+2655617255.0ns,0,4,12
+2656089254.0ns,0,4,12
+2661560760.0ns,0,4,12
+2662032759.0ns,0,4,12
+2664585256.0ns,0,4,12
+2665057255.0ns,0,4,12
+2665529254.0ns,0,4,12
+2668865119.0ns,0,4,12
+2669337118.0ns,0,4,12
+2674025256.0ns,0,4,12
+2674497255.0ns,0,4,12
+2674969254.0ns,0,4,12
+2683465256.0ns,0,4,12
+2683937255.0ns,0,4,12
+2684409254.0ns,0,4,12
+2692905256.0ns,0,4,12
+2693377255.0ns,0,4,12
+2693849254.0ns,0,4,12
+2702345256.0ns,0,4,12
+2702817255.0ns,0,4,12
+2703289254.0ns,0,4,12
+2711785256.0ns,0,4,12
+2712257255.0ns,0,4,12
+2712729254.0ns,0,4,12
+2716294056.0ns,0,4,12
+2725753255.0ns,0,4,12
+2726225254.0ns,0,4,12
+2726697253.0ns,0,4,12
+2735193255.0ns,0,4,12
+2735665254.0ns,0,4,12
+2736137253.0ns,0,4,12
+2744633255.0ns,0,4,12
+2745105254.0ns,0,4,12
+2745577253.0ns,0,4,12
+2754073255.0ns,0,4,12
+2754545254.0ns,0,4,12
+2755017253.0ns,0,4,12
+2768233255.0ns,0,4,12
+2768705254.0ns,0,4,12
+2769177253.0ns,0,4,12
+2777673255.0ns,0,4,12
+2778145254.0ns,0,4,12
+2778617253.0ns,0,4,12
+2787113255.0ns,0,4,12
+2787585254.0ns,0,4,12
+2788057253.0ns,0,4,12
+2796553255.0ns,0,4,12
+2796553255.0ns,0,4,12
+2797025254.0ns,0,4,12
+2797497253.0ns,0,4,12
+2805993255.0ns,0,4,12
+2806465254.0ns,0,4,12
+2806937253.0ns,0,4,12
+2820153255.0ns,0,4,12
+2820625254.0ns,0,4,12
+2821097253.0ns,0,4,12
+2829593255.0ns,0,4,12
+2830065254.0ns,0,4,12
+2830537253.0ns,0,4,12
+2843753255.0ns,0,4,12
+2844225254.0ns,0,4,12
+2844697253.0ns,0,4,12
+2853193255.0ns,0,4,12
+2853665254.0ns,0,4,12
+2854137253.0ns,0,4,12
+2862633255.0ns,0,4,12
+2863105254.0ns,0,4,12
+2863577253.0ns,0,4,12
+2872073255.0ns,0,4,12
+2872545254.0ns,0,4,12
+2873017253.0ns,0,4,12
+2886233255.0ns,0,4,12
+2886705254.0ns,0,4,12
+2887177253.0ns,0,4,12
+2900393255.0ns,0,4,12
+2900865254.0ns,0,4,12
+2901337253.0ns,0,4,12
+2909833255.0ns,0,4,12
